Date;Open;High;Low;Close
2022-01-03T05:00:00+01:00;345;353.88;344.3;353.72
2022-01-04T05:00:00+01:00;353.98;358.1;348.35;352.5
2022-01-05T05:00:00+01:00;351.9;353.5;331.55;335
2022-01-06T05:00:00+01:00;335.9;347.67;330.11;346.4
2022-01-10T05:00:00+01:00;348.56;351;340.51;344
2022-01-11T05:00:00+01:00;344.68;347;341.27;343.74
2022-01-12T05:00:00+01:00;344.48;348.64;339.57;347.43
2022-01-13T05:00:00+01:00;347.01;347.5;333.49;337.6
2022-01-14T05:00:00+01:00;338.59;340.96;321.51;335.76
2022-01-17T05:00:00+01:00;335.9;338.95;319.17;327.81
2022-01-18T05:00:00+01:00;329.11;329.3;296.7;301.11
2022-01-19T05:00:00+01:00;299;320.42;282.72;318.36
2022-01-20T05:00:00+01:00;318.4;326.69;310.07;310.42
2022-01-21T05:00:00+01:00;309.49;321.99;303.5;311.6
2022-01-24T05:00:00+01:00;310.8;314;280.6;294.59
2022-01-25T05:00:00+01:00;293.94;305;289.62;303.03
2022-01-26T05:00:00+01:00;302.9;307.7;293.7;299.6
2022-01-27T05:00:00+01:00;296.93;330;294;325.25
2022-01-28T05:00:00+01:00;325.5;334.9;322.05;329.58
2022-01-31T05:00:00+01:00;330.9;336.41;330.52;334.8
2022-02-01T05:00:00+01:00;334.95;336.63;325.3;330.95
2022-02-02T05:00:00+01:00;332.39;333.7;325.7;331.7
2022-02-03T05:00:00+01:00;330;331;322.3;323.75
2022-02-04T05:00:00+01:00;325.5;334.5;320.88;324.6
2022-02-07T05:00:00+01:00;324.51;327.44;316.64;321.25
2022-02-08T05:00:00+01:00;321.45;331.87;319;331.7
2022-02-09T05:00:00+01:00;332.3;336;330.18;335.08
2022-02-10T05:00:00+01:00;335.41;335.47;328.1;328.93
2022-02-11T05:00:00+01:00;328.97;328.97;316.2;318.1
2022-02-14T05:00:00+01:00;314.1;324.9;303.25;321.25
2022-02-15T05:00:00+01:00;322.43;335.5;322.43;333.6
2022-02-16T05:00:00+01:00;335.86;339.98;331.62;336.5
2022-02-17T05:00:00+01:00;336.37;336.37;322.04;323.51
2022-02-18T05:00:00+01:00;325.51;329.32;306.7;309.48
2022-02-21T05:00:00+01:00;309.48;318.9;241;257.3
2022-02-22T05:00:00+01:00;253.95;284.07;246.7;283.51
2022-02-24T05:00:00+01:00;255.02;255.02;126.53;210.25
2022-02-25T05:00:00+01:00;208.01;244.94;191.6;228
2022-03-21T05:00:00+01:00;228;228;228;228
2022-03-22T05:00:00+01:00;228;228;228;228
2022-03-23T05:00:00+01:00;228;228;228;228
2022-03-24T05:00:00+01:00;251.41;278.9;232;258.51
2022-03-25T05:00:00+01:00;263.99;269.33;225.6;227
2022-03-28T06:00:00+02:00;225;229.45;213.03;218.6
2022-03-29T06:00:00+02:00;220;226;206;208
2022-03-30T06:00:00+02:00;211;219.41;210.52;216
2022-03-31T06:00:00+02:00;218.98;249;217.1;242.48
2022-04-01T06:00:00+02:00;245.9;258.7;242.48;251.4
2022-04-04T06:00:00+02:00;254.03;259.99;237.31;252.9
2022-04-05T06:00:00+02:00;254;256.39;231.45;243.5
2022-04-06T06:00:00+02:00;238.41;247.8;234.41;239.7
2022-04-07T06:00:00+02:00;240.04;246.8;239.13;245
2022-04-08T06:00:00+02:00;246.79;246.79;240;241.07
2022-04-11T06:00:00+02:00;241.9;242.78;234.16;234.55
2022-04-12T06:00:00+02:00;234;236.63;223;236.3
2022-04-13T06:00:00+02:00;238;239.64;232.13;234.87
2022-04-14T06:00:00+02:00;235;235.5;221.1;222.11
2022-04-15T06:00:00+02:00;222;226.65;215.74;224
2022-04-18T06:00:00+02:00;224.1;226;216.6;216.99
2022-04-19T06:00:00+02:00;216.9;222;207;220.72
2022-04-20T06:00:00+02:00;221.43;229.84;215.63;218.92
2022-04-21T06:00:00+02:00;220;221;210.29;210.29
2022-04-22T06:00:00+02:00;210.5;215;207.01;208
2022-04-25T06:00:00+02:00;209.95;209.95;201.12;206.35
2022-04-26T06:00:00+02:00;207.97;229.74;206.54;225.85
2022-04-27T06:00:00+02:00;226.01;237.5;221.61;237.15
2022-04-28T06:00:00+02:00;239.4;249;235.5;237.53
2022-04-29T06:00:00+02:00;238.55;245.43;238;240.4
2022-05-04T06:00:00+02:00;241;244.39;233.12;234.16
2022-05-05T06:00:00+02:00;235.54;239.4;235.08;238.6
2022-05-06T06:00:00+02:00;238.5;242.92;235.1;240.1
2022-05-11T06:00:00+02:00;239.8;243.35;237.58;241.99
2022-05-12T06:00:00+02:00;241.89;241.89;227.22;230.56
2022-05-13T06:00:00+02:00;232.5;237.2;229.02;235.52
2022-05-16T06:00:00+02:00;234;246.95;233.11;244.2
2022-05-17T06:00:00+02:00;246.01;260;245.3;258.8
2022-05-18T06:00:00+02:00;261.1;269.42;261;264.84
2022-05-19T06:00:00+02:00;268;269.78;262.65;266.68
2022-05-20T06:00:00+02:00;268.46;268.9;260.41;263
2022-05-23T06:00:00+02:00;265.44;273;263;263
2022-05-24T06:00:00+02:00;263;267.29;250.4;265.8
2022-05-25T06:00:00+02:00;268.48;271.66;263.8;271.4
2022-05-26T06:00:00+02:00;273;298.31;245;295.89
2022-05-27T06:00:00+02:00;300;305;293.53;294.5
2022-05-30T06:00:00+02:00;298.61;302;296.28;300.8
2022-05-31T06:00:00+02:00;302;302;293.51;293.75
2022-06-01T06:00:00+02:00;293.5;299.5;290.25;297.69
2022-06-02T06:00:00+02:00;297.69;299.33;294.9;296
2022-06-03T06:00:00+02:00;296.05;297.24;291;297
2022-06-06T06:00:00+02:00;298;299;295.12;296.5
2022-06-07T06:00:00+02:00;297.42;298.69;294.52;297.99
2022-06-08T06:00:00+02:00;298.8;309.6;298.16;308
2022-06-09T06:00:00+02:00;310;310.52;303.2;306.5
2022-06-10T06:00:00+02:00;306.48;310.98;305.06;309.2
2022-06-14T06:00:00+02:00;308.98;322.77;307;317.69
2022-06-15T06:00:00+02:00;319;322.99;314.11;316.2
2022-06-16T06:00:00+02:00;316.5;318.25;314.5;316.99
2022-06-17T06:00:00+02:00;317.54;317.7;313.5;315.5
2022-06-20T06:00:00+02:00;316.06;318;311;311.98
2022-06-21T06:00:00+02:00;312.31;312.86;300.77;301.58
2022-06-22T06:00:00+02:00;300.1;301.91;294.36;295.8
2022-06-23T06:00:00+02:00;295.81;304.6;291.1;303.5
2022-06-24T06:00:00+02:00;304;307.45;295.55;296
2022-06-27T06:00:00+02:00;296;299.8;295.1;296.2
2022-06-28T06:00:00+02:00;296.9;303.88;293.22;297.2
2022-06-29T06:00:00+02:00;297.91;300.78;293.8;297.65
2022-06-30T06:00:00+02:00;299.5;310.82;200;207
2022-07-01T06:00:00+02:00;200.48;201.85;186.2;192.5
2022-07-04T06:00:00+02:00;191.99;195.44;181.2;186.25
2022-07-05T06:00:00+02:00;186.25;199.87;185.2;197.3
2022-07-06T06:00:00+02:00;197.78;205.78;194.44;195.42
2022-07-07T06:00:00+02:00;195.42;199.47;192.36;197.92
2022-07-08T06:00:00+02:00;200;201.87;196.57;198
2022-07-11T06:00:00+02:00;198;199.43;188.79;188.9
2022-07-12T06:00:00+02:00;189.15;193;184;191.4
2022-07-13T06:00:00+02:00;191.22;194;185.3;186
2022-07-14T06:00:00+02:00;186.37;188.1;183.11;184.55
2022-07-15T06:00:00+02:00;184.6;188.9;183.22;187.61
2022-07-18T06:00:00+02:00;189;189.5;185.52;186.7
2022-07-19T06:00:00+02:00;186;189.6;184.6;189.51
2022-07-20T06:00:00+02:00;190;195.8;190;193.3
2022-07-21T06:00:00+02:00;194.65;195.45;188;189.59
2022-07-22T06:00:00+02:00;189;192.95;188.6;192.25
2022-07-25T06:00:00+02:00;192.6;194.65;190.56;192
2022-07-26T06:00:00+02:00;192;194.49;191.2;193.95
2022-07-27T06:00:00+02:00;194.5;197.5;194.1;196.49
2022-07-28T06:00:00+02:00;198;198.79;195;196.25
2022-07-29T06:00:00+02:00;196.25;196.8;193.5;195.26
2022-08-01T06:00:00+02:00;194.5;194.69;192;192
2022-08-02T06:00:00+02:00;191.56;191.68;186.8;187.16
2022-08-03T06:00:00+02:00;187.51;188.97;186.31;187.04
2022-08-04T06:00:00+02:00;187;187.22;184.3;184.9
2022-08-05T06:00:00+02:00;184.7;185.62;175.75;176.58
2022-08-08T06:00:00+02:00;180;181.82;177.25;177.86
2022-08-09T06:00:00+02:00;178;181.38;175.2;181.04
2022-08-10T06:00:00+02:00;181.04;182.33;178.53;178.81
2022-08-11T06:00:00+02:00;179.49;180.63;173.51;174.1
2022-08-12T06:00:00+02:00;174.5;175.88;172.29;174.36
2022-08-15T06:00:00+02:00;174.01;175.5;172.4;174.8
2022-08-16T06:00:00+02:00;175.5;181.61;174.7;181.3
2022-08-17T06:00:00+02:00;181.9;182.49;176.4;176.5
2022-08-18T06:00:00+02:00;176.3;179.37;175.5;178.87
2022-08-19T06:00:00+02:00;178.78;178.9;176.6;177.6
2022-08-22T06:00:00+02:00;177.4;182.2;176.88;181.7
2022-08-23T06:00:00+02:00;182.39;185.8;182.1;184.3
2022-08-24T06:00:00+02:00;184.7;186.66;182.19;182.83
2022-08-25T06:00:00+02:00;183;184.6;180.8;181.9
2022-08-26T06:00:00+02:00;181.7;184.2;180.5;183.62
2022-08-29T06:00:00+02:00;183.15;190;182.65;190
2022-08-30T06:00:00+02:00;190.45;204.2;190.45;204
2022-08-31T06:00:00+02:00;224.4;275.96;224.4;254.9
2022-09-01T06:00:00+02:00;258;259.85;247.62;249.11
2022-09-02T06:00:00+02:00;249.68;253.95;246.22;252.8
2022-09-05T06:00:00+02:00;251;252.11;248.55;250
2022-09-06T06:00:00+02:00;249.99;250.2;241;246
2022-09-07T06:00:00+02:00;245.8;245.8;241.55;241.55
2022-09-08T06:00:00+02:00;241.55;245.3;237.84;243.95
2022-09-09T06:00:00+02:00;244.48;247.2;242.16;245.34
2022-09-12T06:00:00+02:00;243.99;247;241.06;243.3
2022-09-13T06:00:00+02:00;243.9;245.29;241.8;242.64
2022-09-14T06:00:00+02:00;242.29;243.39;240;243.32
2022-09-15T06:00:00+02:00;243.32;244.3;241.91;243.68
2022-09-16T06:00:00+02:00;243.67;248.2;241.83;243.8
2022-09-19T06:00:00+02:00;243.19;245.91;242.71;244.21
2022-09-20T06:00:00+02:00;242.4;243.45;200.01;221.15
2022-09-21T06:00:00+02:00;196.5;218.78;192;214.07
2022-09-22T06:00:00+02:00;215.01;237.77;215.01;231.45
2022-09-23T06:00:00+02:00;233.4;234.5;222.22;224.84
2022-09-26T06:00:00+02:00;219;221.9;200.62;206
2022-09-27T06:00:00+02:00;211.36;217.36;207.12;217.3
2022-09-28T06:00:00+02:00;217;223.7;208.66;217.38
2022-09-29T06:00:00+02:00;219.5;226.8;210.51;226.46
2022-09-30T06:00:00+02:00;231.68;238.72;189.42;217.7
2022-10-03T06:00:00+02:00;219;220.55;213.63;215.83
2022-10-04T06:00:00+02:00;216.48;216.7;208.8;210.72
2022-10-05T06:00:00+02:00;211.5;211.5;202.85;209.05
2022-10-06T06:00:00+02:00;210;216.88;209.06;212.86
2022-10-07T06:00:00+02:00;212.84;212.84;195.01;195.15
2022-10-10T06:00:00+02:00;181.26;181.26;137.1;163.89
2022-10-11T06:00:00+02:00;163.89;165.2;159.62;162.89
2022-10-12T06:00:00+02:00;163.5;164;160.31;161.8
2022-10-13T06:00:00+02:00;161.69;162.45;159.48;160.84
2022-10-14T06:00:00+02:00;161;161.16;158.64;159.6
2022-10-17T06:00:00+02:00;160;163.8;159.6;163.24
2022-10-18T06:00:00+02:00;164;164.64;159.1;160.2
2022-10-19T06:00:00+02:00;159.1;161.5;157.4;161.29
2022-10-20T06:00:00+02:00;161.69;162.48;160.15;160.75
2022-10-21T06:00:00+02:00;160;169.96;159.03;166.99
2022-10-24T06:00:00+02:00;168;168.88;164.82;165.47
2022-10-25T06:00:00+02:00;166;174.69;164.22;172.38
2022-10-26T06:00:00+02:00;173.16;173.42;168.7;171.98
2022-10-27T06:00:00+02:00;172.5;173.98;171.3;172.47
2022-10-28T06:00:00+02:00;171.89;172.35;169.41;170.73
2022-10-31T05:00:00+01:00;170.73;171.5;169.21;170.27
2022-11-01T05:00:00+01:00;170.9;171.29;169.75;169.92
2022-11-02T05:00:00+01:00;169.92;170.45;167.1;167.72
2022-11-03T05:00:00+01:00;167.01;169.65;166.68;169.14
2022-11-07T05:00:00+01:00;171.01;171.59;169.52;169.85
2022-11-08T05:00:00+01:00;170.05;172;169.17;169.97
2022-11-09T05:00:00+01:00;169.84;170.32;166.15;167.1
2022-11-10T05:00:00+01:00;167.5;170.18;167.18;168.9
2022-11-11T05:00:00+01:00;169.27;170.6;167.51;169.86
2022-11-14T05:00:00+01:00;170.84;171.92;166.51;169.6
2022-11-15T05:00:00+01:00;171.08;171.3;161.79;166.25
2022-11-16T05:00:00+01:00;166.6;169.15;166.6;168.76
2022-11-17T05:00:00+01:00;168.8;169.8;168.01;168.99
2022-11-18T05:00:00+01:00;169.2;169.25;167.51;168.79
2022-11-21T05:00:00+01:00;168.55;168.67;167;168.13
2022-11-22T05:00:00+01:00;167.89;168.5;167.45;168.08
2022-11-23T05:00:00+01:00;168.2;170.6;167.5;169.15
2022-11-24T05:00:00+01:00;169.41;170.87;168.6;168.96
2022-11-25T05:00:00+01:00;169.48;169.53;168.1;169.03
2022-11-28T05:00:00+01:00;168;168.67;167.52;168.1
2022-11-29T05:00:00+01:00;168.59;169;167.92;168.1
2022-11-30T05:00:00+01:00;167.99;168.19;167.6;167.7
2022-12-01T05:00:00+01:00;167.99;168.76;166.31;166.98
2022-12-02T05:00:00+01:00;167;167.19;164.18;165.86
2022-12-05T05:00:00+01:00;165.59;167.2;164.58;165.03
2022-12-06T05:00:00+01:00;165.02;165.68;163.12;164.3
2022-12-07T05:00:00+01:00;164.3;164.33;162.7;163.7
2022-12-08T05:00:00+01:00;163.56;163.99;162.71;163
2022-12-09T05:00:00+01:00;163;163.48;162.4;162.75
2022-12-12T05:00:00+01:00;163.24;163.81;161.85;162.89
2022-12-13T05:00:00+01:00;162.96;163.44;162;162.4
