Date;Open;High;Low;Close
2022-01-03T05:00:00+01:00;6592;6705.5;6586;6679.5
2022-01-04T05:00:00+01:00;6688;6741;6627;6725
2022-01-05T05:00:00+01:00;6715.5;6755;6501;6529
2022-01-06T05:00:00+01:00;6530;6706;6459;6698.5
2022-01-10T05:00:00+01:00;6730;6880;6650.5;6771
2022-01-11T05:00:00+01:00;6799;6850;6732.5;6816
2022-01-12T05:00:00+01:00;6814.5;6969;6770;6954
2022-01-13T05:00:00+01:00;6927;6951.5;6610;6672
2022-01-14T05:00:00+01:00;6699;6791;6469;6659
2022-01-17T05:00:00+01:00;6668;6734;6445;6515.5
2022-01-18T05:00:00+01:00;6548;6587;6132;6250
2022-01-19T05:00:00+01:00;6250;6670;6020;6494
2022-01-20T05:00:00+01:00;6549;6683;6324;6430
2022-01-21T05:00:00+01:00;6400;6514;6310;6420
2022-01-24T05:00:00+01:00;6445;6479;6078;6293
2022-01-25T05:00:00+01:00;6270;6562.5;6177.5;6543.5
2022-01-26T05:00:00+01:00;6542;6690;6405;6525.5
2022-01-27T05:00:00+01:00;6498;6900;6432;6811.5
2022-01-28T05:00:00+01:00;6784;6945;6755;6775
2022-01-31T05:00:00+01:00;6810;6910;6780;6878
2022-02-01T05:00:00+01:00;6884;7013.5;6826;6976
2022-02-02T05:00:00+01:00;6975;7050;6936;7040
2022-02-03T05:00:00+01:00;7026.5;7030;6794.5;6865.5
2022-02-04T05:00:00+01:00;6897;7110;6892;7010
2022-02-07T05:00:00+01:00;7047;7060;6825.5;6984
2022-02-08T05:00:00+01:00;6985;7044;6938;6957.5
2022-02-09T05:00:00+01:00;6966.5;7009;6900;6970.5
2022-02-10T05:00:00+01:00;6970;7084;6894;6984.5
2022-02-11T05:00:00+01:00;6960;7000;6624.5;6707.5
2022-02-14T05:00:00+01:00;6684;6885;6524.5;6796
2022-02-15T05:00:00+01:00;6840;7077.5;6783;6979
2022-02-16T05:00:00+01:00;7028;7068;6902.5;6970
2022-02-17T05:00:00+01:00;6956.5;6968;6650;6733
2022-02-18T05:00:00+01:00;6739;6832;6415;6456.5
2022-02-21T05:00:00+01:00;6480;6649;5609.5;5810
2022-02-22T05:00:00+01:00;5805;6050;5479;6019.5
2022-02-24T05:00:00+01:00;5410.5;5410.5;3019.5;4650
2022-02-25T05:00:00+01:00;4400;5360;4400;4915
2022-03-21T05:00:00+01:00;4915;4915;4915;4915
2022-03-22T05:00:00+01:00;4915;4915;4915;4915
2022-03-23T05:00:00+01:00;4915;4915;4915;4915
2022-03-24T05:00:00+01:00;5302.5;5993;5300;5525
2022-03-25T05:00:00+01:00;5600;5761;5022;5206
2022-03-28T06:00:00+02:00;5200;5200;4915;5118
2022-03-29T06:00:00+02:00;5118;5350;4800;4922
2022-03-30T06:00:00+02:00;5050;5140;5000;5140
2022-03-31T06:00:00+02:00;5120;5680;5100;5680
2022-04-01T06:00:00+02:00;5660;5868;5450;5601
2022-04-04T06:00:00+02:00;5698;5750;5395;5557
2022-04-05T06:00:00+02:00;5574;5590;5220;5314
2022-04-06T06:00:00+02:00;5314;5514;5224.5;5266
2022-04-07T06:00:00+02:00;5260;5356;5240;5280
2022-04-08T06:00:00+02:00;5299.5;5319.5;5087;5226.5
2022-04-11T06:00:00+02:00;5225;5385;5184;5190
2022-04-12T06:00:00+02:00;5200;5250;5026;5145
2022-04-13T06:00:00+02:00;5179.5;5209;5056;5106
2022-04-14T06:00:00+02:00;5115.5;5120;4862;4879.5
2022-04-15T06:00:00+02:00;4879;4956;4800;4893
2022-04-18T06:00:00+02:00;4913;4948;4524;4549
2022-04-19T06:00:00+02:00;4592;4592;4108;4485
2022-04-20T06:00:00+02:00;4498.5;4536;4215.5;4310
2022-04-21T06:00:00+02:00;4331.5;4340;3910;3974
2022-04-22T06:00:00+02:00;3974;4044;3682;3828
2022-04-25T06:00:00+02:00;3828;3994;3710.5;3931
2022-04-26T06:00:00+02:00;3970.5;4587.5;3960.5;4292
2022-04-27T06:00:00+02:00;4325;4559;4276;4550
2022-04-28T06:00:00+02:00;4551;4740;4318;4381
2022-04-29T06:00:00+02:00;4410;4717;4380;4699.5
2022-05-04T06:00:00+02:00;4747;4772.5;4526;4552
2022-05-05T06:00:00+02:00;4602;4689.5;4600.5;4675
2022-05-06T06:00:00+02:00;4689;4690;4568;4635.5
2022-05-11T06:00:00+02:00;4640;4699;4539;4600
2022-05-12T06:00:00+02:00;4550;4581;4325.5;4362.5
2022-05-13T06:00:00+02:00;4400;4439;4300;4380
2022-05-16T06:00:00+02:00;4380;4669.5;4380;4523.5
2022-05-17T06:00:00+02:00;4543;4589;4400;4500
2022-05-18T06:00:00+02:00;4520;4565;4480;4483.5
2022-05-19T06:00:00+02:00;4483.5;4509.5;4381.5;4415.5
2022-05-20T06:00:00+02:00;4419;4449;4258;4279
2022-05-23T06:00:00+02:00;4305;4350;4031;4050
2022-05-24T06:00:00+02:00;4050;4062.5;3882;3942
2022-05-25T06:00:00+02:00;3999;4148;3975;4148
2022-05-26T06:00:00+02:00;4160;4298.5;4085;4263
2022-05-27T06:00:00+02:00;4285;4359.5;4255;4290
2022-05-30T06:00:00+02:00;4351;4380;4100;4220
2022-05-31T06:00:00+02:00;4180;4199;4043;4061.5
2022-06-01T06:00:00+02:00;4050;4125;4003;4074
2022-06-02T06:00:00+02:00;4078;4085.5;3993;4035
2022-06-03T06:00:00+02:00;4040;4070;3930;3980.5
2022-06-06T06:00:00+02:00;3985;4028;3927;3940
2022-06-07T06:00:00+02:00;3940;3970;3816;3959.5
2022-06-08T06:00:00+02:00;3968;4050;3864;3945.5
2022-06-09T06:00:00+02:00;3954;3956.5;3865;3876
2022-06-10T06:00:00+02:00;3865;3903;3830;3898
2022-06-14T06:00:00+02:00;3881;3927.5;3846;3891.5
2022-06-15T06:00:00+02:00;3880;4125;3880;4115
2022-06-16T06:00:00+02:00;4116.5;4300;4105;4261.5
2022-06-17T06:00:00+02:00;4289.5;4326;4137;4182
2022-06-20T06:00:00+02:00;4202;4245;4128;4209.5
2022-06-21T06:00:00+02:00;4239;4279.5;4031.5;4045
2022-06-22T06:00:00+02:00;3990;4179.5;3932.5;4139
2022-06-23T06:00:00+02:00;4140.5;4207;4076.5;4150
2022-06-24T06:00:00+02:00;4149;4160;4044.5;4100
2022-06-27T06:00:00+02:00;4100;4120;4056;4100
2022-06-28T06:00:00+02:00;4109.5;4109.5;3983;3989.5
2022-06-29T06:00:00+02:00;3980;4078;3920.5;4015
2022-06-30T06:00:00+02:00;4000;4056.5;3865;3905
2022-07-01T06:00:00+02:00;3915;4002.5;3876;3944
2022-07-04T06:00:00+02:00;3946;4095;3944;3949.5
2022-07-05T06:00:00+02:00;3950.5;4048;3905;4015
2022-07-06T06:00:00+02:00;4000;4150;3945;3962
2022-07-07T06:00:00+02:00;3963;4010;3940;3956
2022-07-08T06:00:00+02:00;3959.5;3980;3902.5;3911
2022-07-11T06:00:00+02:00;3900;3920;3802.5;3848.5
2022-07-12T06:00:00+02:00;3830;3846;3713;3752
2022-07-13T06:00:00+02:00;3757;3767;3619;3645.5
2022-07-14T06:00:00+02:00;3645.5;3710;3551;3608
2022-07-15T06:00:00+02:00;3643.5;3710;3580;3709
2022-07-18T06:00:00+02:00;3721;3777;3613;3645
2022-07-19T06:00:00+02:00;3645;3654.5;3567;3600
2022-07-20T06:00:00+02:00;3601;3664;3556.5;3580
2022-07-21T06:00:00+02:00;3577;3577.5;3482.5;3539.5
2022-07-22T06:00:00+02:00;3552;3688;3551;3688
2022-07-25T06:00:00+02:00;3672;3709.5;3637;3669
2022-07-26T06:00:00+02:00;3694;3825;3675.5;3825
2022-07-27T06:00:00+02:00;3850;3878;3810;3847.5
2022-07-28T06:00:00+02:00;3870;3885;3770;3831
2022-07-29T06:00:00+02:00;3830;3880;3809.5;3877
2022-08-01T06:00:00+02:00;3883;4030;3825.5;3931
2022-08-02T06:00:00+02:00;3930.5;3965.5;3795;3823
2022-08-03T06:00:00+02:00;3823;3855;3784;3799
2022-08-04T06:00:00+02:00;3800;3816;3712;3720
2022-08-05T06:00:00+02:00;3720;3746;3659.5;3679.5
2022-08-08T06:00:00+02:00;3779;3819;3720;3720
2022-08-09T06:00:00+02:00;3720;3895;3701.5;3895
2022-08-10T06:00:00+02:00;3895;3910;3825;3890
2022-08-11T06:00:00+02:00;3899;3963;3875;3925
2022-08-12T06:00:00+02:00;3935;3979;3901;3940.5
